FIA.Code,jenkins_model,PLANTS.Code,Scientific.Name.with.Author,Common.Name,Family,habit,Genus,Species,Adj.Factor,model_name,betaZero,betaOne,chojnacky,Species.Group,Group,MedianSpecGrav,beta0,beta1
316,soft maple/birch,ACRU,Acer rubrum L.,red maple,Aceraceae,tree,Acer,rubrum,0.744,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
NA,soft maple/birch,ACRUR,Acer rubrum L. var. rubrum,red maple,Aceraceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
317,soft maple/birch,ACSA2,Acer saccharinum L.,silver maple,Aceraceae,tree,Acer,saccharinum,0.744,hw4,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
318,hard maple/oak/hickory/beech,ACSA3,Acer saccharum Marshall,sugar maple,Aceraceae,tree,Acer,saccharum,0.841,hw2,-2.0127,2.4342,AceraceaeAbove0.50spg,hardwood,Hardwood,0.56,-1.8011,2.3852
NA,hard maple/oak/hickory/beech,ACSAS,Acer saccharum ,sugar maple,Aceraceae,tree,NA,NA,0.84,hw2,-2.0127,2.4342,AceraceaeAbove0.50spg,hardwood,Hardwood,0.56,-1.8011,2.3852
319,soft maple/birch,ACSP2,Acer spicatum Lam.,mountain maple,Aceraceae,tree,Acer,spicatum,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
6026,,ADRI,Adelia ricinella L.,wild lime,Euphorbiaceae,shrub,Adelia,ricinella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,mixed hardwood,AECA,Aesculus californica (Spach) Nutt.,California buckeye,Hippocastanaceae,tree,Aesculus,californica,0.964,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
332,mixed hardwood,AEFL,Aesculus flava Aiton,yellow buckeye,Hippocastanaceae,tree,Aesculus,flava,0.792,hw3,-2.48,2.4835,Hippocastanaceae/Tiliaceae,hardwood,Hardwood,0.32,-2.4108,2.4177
NA,mixed hardwood,AEPA,Aesculus pavia L.,red buckeye,Hippocastanaceae,tree,Aesculus,NA,0.84,hw3,-2.48,2.4835,Hippocastanaceae/Tiliaceae,hardwood,Hardwood,0.32,-2.4108,2.4177
NA,mixed hardwood,AEPA2,Aesculus parviflora Walter,bottlebrush buckeye,Hippocastanaceae,tree,Aesculus,NA,0.84,hw3,-2.48,2.4835,Hippocastanaceae/Tiliaceae,hardwood,Hardwood,0.32,-2.4108,2.4177
341,mixed hardwood,AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven,Simaroubaceae,tree,Ailanthus,altissima,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,aspen/alder/cottonwood/willow,ALIN2,Alnus incana (L.) Moench ,gray alder,Betulaceae,tree,NA,NA,0.84,hw1,-2.2094,2.3867,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
